imgs,labels
N_0000000018/N_0000000018_00260.jpg,not_happy
N_0000000018/N_0000000018_00001.jpg,not_happy
N_0000000018/N_0000000018_00003.jpg,not_happy
N_0000000018/N_0000000018_00005.jpg,not_happy
N_0000000018/N_0000000018_00006.jpg,not_happy
N_0000000018/N_0000000018_00007.jpg,not_happy
N_0000000018/N_0000000018_00013.jpg,happy
N_0000000018/N_0000000018_00022.jpg,happy
N_0000000018/N_0000000018_00025.jpg,not_happy
N_0000000018/N_0000000018_00028.jpg,not_happy
N_0000000018/N_0000000018_00029.jpg,not_happy
N_0000000018/N_0000000018_00030.jpg,not_happy
N_0000000018/N_0000000018_00032.jpg,not_happy
N_0000000018/N_0000000018_00037.jpg,happy
N_0000000018/N_0000000018_00043.jpg,not_happy
N_0000000018/N_0000000018_00045.jpg,not_happy
N_0000000018/N_0000000018_00048.jpg,not_happy
N_0000000018/N_0000000018_00049.jpg,not_happy
N_0000000018/N_0000000018_00051.jpg,happy
N_0000000018/N_0000000018_00053.jpg,not_happy
N_0000000018/N_0000000018_00054.jpg,not_happy
N_0000000018/N_0000000018_00057.jpg,not_happy
N_0000000018/N_0000000018_00060.jpg,not_happy
N_0000000018/N_0000000018_00061.jpg,happy
N_0000000018/N_0000000018_00062.jpg,not_happy
N_0000000018/N_0000000018_00064.jpg,not_happy
N_0000000018/N_0000000018_00065.jpg,happy
N_0000000018/N_0000000018_00066.jpg,not_happy
N_0000000018/N_0000000018_00035.jpg,not_happy
N_0000000018/N_0000000018_00069.jpg,not_happy
N_0000000018/N_0000000018_00101.jpg,not_happy
N_0000000018/N_0000000018_00136.jpg,not_happy
N_0000000018/N_0000000018_00225.jpg,not_happy
N_0000000018/N_0000000018_00070.jpg,happy
N_0000000018/N_0000000018_00072.jpg,happy
N_0000000018/N_0000000018_00073.jpg,not_happy
N_0000000018/N_0000000018_00076.jpg,not_happy
N_0000000018/N_0000000018_00077.jpg,not_happy
N_0000000018/N_0000000018_00079.jpg,not_happy
N_0000000018/N_0000000018_00087.jpg,not_happy
N_0000000018/N_0000000018_00089.jpg,not_happy
N_0000000018/N_0000000018_00090.jpg,not_happy
N_0000000018/N_0000000018_00094.jpg,happy
N_0000000018/N_0000000018_00096.jpg,not_happy
N_0000000018/N_0000000018_00097.jpg,not_happy
N_0000000018/N_0000000018_00098.jpg,not_happy
N_0000000018/N_0000000018_00103.jpg,not_happy
N_0000000018/N_0000000018_00104.jpg,not_happy
N_0000000018/N_0000000018_00109.jpg,happy
N_0000000018/N_0000000018_00113.jpg,not_happy
N_0000000018/N_0000000018_00115.jpg,not_happy
N_0000000018/N_0000000018_00116.jpg,not_happy
N_0000000018/N_0000000018_00118.jpg,not_happy
N_0000000018/N_0000000018_00122.jpg,not_happy
N_0000000018/N_0000000018_00124.jpg,happy
N_0000000018/N_0000000018_00128.jpg,not_happy
N_0000000018/N_0000000018_00129.jpg,happy
N_0000000018/N_0000000018_00134.jpg,not_happy
N_0000000018/N_0000000018_00137.jpg,not_happy
N_0000000018/N_0000000018_00141.jpg,happy
N_0000000018/N_0000000018_00142.jpg,not_happy
N_0000000018/N_0000000018_00144.jpg,not_happy
N_0000000018/N_0000000018_00146.jpg,happy
N_0000000018/N_0000000018_00147.jpg,not_happy
N_0000000018/N_0000000018_00150.jpg,happy
N_0000000018/N_0000000018_00153.jpg,happy
N_0000000018/N_0000000018_00159.jpg,not_happy
N_0000000018/N_0000000018_00160.jpg,not_happy
N_0000000018/N_0000000018_00163.jpg,not_happy
N_0000000018/N_0000000018_00164.jpg,not_happy
N_0000000018/N_0000000018_00165.jpg,happy
N_0000000018/N_0000000018_00168.jpg,happy
N_0000000018/N_0000000018_00171.jpg,not_happy
N_0000000018/N_0000000018_00181.jpg,not_happy
N_0000000018/N_0000000018_00185.jpg,not_happy
N_0000000018/N_0000000018_00187.jpg,not_happy
N_0000000018/N_0000000018_00188.jpg,not_happy
N_0000000018/N_0000000018_00189.jpg,not_happy
N_0000000018/N_0000000018_00190.jpg,not_happy
N_0000000018/N_0000000018_00192.jpg,not_happy
N_0000000018/N_0000000018_00197.jpg,happy
N_0000000018/N_0000000018_00199.jpg,happy
N_0000000018/N_0000000018_00200.jpg,not_happy
N_0000000018/N_0000000018_00201.jpg,not_happy
N_0000000018/N_0000000018_00205.jpg,happy
N_0000000018/N_0000000018_00206.jpg,not_happy
N_0000000018/N_0000000018_00209.jpg,not_happy
N_0000000018/N_0000000018_00212.jpg,not_happy
N_0000000018/N_0000000018_00214.jpg,happy
N_0000000018/N_0000000018_00215.jpg,not_happy
N_0000000018/N_0000000018_00220.jpg,not_happy
N_0000000018/N_0000000018_00222.jpg,happy
N_0000000018/N_0000000018_00223.jpg,not_happy
N_0000000018/N_0000000018_00228.jpg,not_happy
N_0000000018/N_0000000018_00229.jpg,not_happy
N_0000000018/N_0000000018_00231.jpg,happy
N_0000000018/N_0000000018_00232.jpg,not_happy
N_0000000018/N_0000000018_00234.jpg,not_happy
N_0000000018/N_0000000018_00236.jpg,happy
N_0000000018/N_0000000018_00241.jpg,not_happy
N_0000000018/N_0000000018_00242.jpg,not_happy
N_0000000018/N_0000000018_00244.jpg,not_happy
N_0000000018/N_0000000018_00245.jpg,not_happy
N_0000000018/N_0000000018_00246.jpg,not_happy
N_0000000018/N_0000000018_00247.jpg,not_happy
N_0000000018/N_0000000018_00248.jpg,not_happy
N_0000000018/N_0000000018_00251.jpg,not_happy
N_0000000018/N_0000000018_00252.jpg,not_happy
N_0000000018/N_0000000018_00254.jpg,not_happy
N_0000000018/N_0000000018_00255.jpg,happy
N_0000000018/N_0000000018_00256.jpg,happy
N_0000000018/N_0000000018_00257.jpg,happy
N_0000000018/N_0000000018_00258.jpg,happy
N_0000000018/N_0000000018_00262.jpg,not_happy
N_0000000018/N_0000000018_00263.jpg,not_happy
N_0000000018/N_0000000018_00264.jpg,not_happy
N_0000000018/N_0000000018_00265.jpg,not_happy
N_0000000018/N_0000000018_00267.jpg,happy
N_0000000018/N_0000000018_00268.jpg,not_happy
N_0000000018/N_0000000018_00269.jpg,not_happy
N_0000000018/N_0000000018_00271.jpg,not_happy
N_0000000018/N_0000000018_00278.jpg,not_happy
N_0000000018/N_0000000018_00281.jpg,not_happy
N_0000000018/N_0000000018_00282.jpg,happy
N_0000000018/N_0000000018_00284.jpg,not_happy
N_0000000018/N_0000000018_00286.jpg,not_happy
N_0000000018/N_0000000018_00289.jpg,happy
N_0000000018/N_0000000018_00290.jpg,not_happy
N_0000000018/N_0000000018_00293.jpg,not_happy
N_0000000018/N_0000000018_00294.jpg,not_happy
N_0000000018/N_0000000018_00302.jpg,not_happy
N_0000000018/N_0000000018_00303.jpg,happy
N_0000000018/N_0000000018_00305.jpg,happy
N_0000000018/N_0000000018_00306.jpg,not_happy
N_0000000018/N_0000000018_00309.jpg,not_happy
N_0000000018/N_0000000018_00317.jpg,not_happy
N_0000000018/N_0000000018_00320.jpg,not_happy
N_0000000018/N_0000000018_00327.jpg,not_happy
N_0000000018/N_0000000018_00328.jpg,not_happy
N_0000000018/N_0000000018_00339.jpg,not_happy
N_0000000018/N_0000000018_00343.jpg,not_happy
N_0000000018/N_0000000018_00344.jpg,not_happy
N_0000000018/N_0000000018_00349.jpg,not_happy
N_0000000018/N_0000000018_00355.jpg,not_happy
N_0000000018/N_0000000018_00359.jpg,happy
N_0000000018/N_0000000018_00364.jpg,not_happy
N_0000000018/N_0000000018_00378.jpg,not_happy
N_0000000018/N_0000000018_00381.jpg,not_happy
N_0000000018/N_0000000018_00384.jpg,not_happy
N_0000000018/N_0000000018_00391.jpg,not_happy
N_0000000018/N_0000000018_00396.jpg,not_happy
N_0000000018/N_0000000018_00397.jpg,not_happy
N_0000000018/N_0000000018_00399.jpg,not_happy
N_0000000018/N_0000000018_00403.jpg,not_happy
N_0000000018/N_0000000018_00408.jpg,not_happy
N_0000000018/N_0000000018_00415.jpg,happy
N_0000000018/N_0000000018_00418.jpg,not_happy
N_0000000018/N_0000000018_00422.jpg,not_happy
N_0000000018/N_0000000018_00423.jpg,not_happy
N_0000000018/N_0000000018_00425.jpg,happy
N_0000000018/N_0000000018_00431.jpg,happy
N_0000000018/N_0000000018_00435.jpg,not_happy
N_0000000018/N_0000000018_00436.jpg,not_happy
N_0000000018/N_0000000018_00438.jpg,not_happy
N_0000000018/N_0000000018_00440.jpg,not_happy
N_0000000018/N_0000000018_00446.jpg,not_happy
N_0000000018/N_0000000018_00449.jpg,not_happy
N_0000000018/N_0000000018_00453.jpg,not_happy
N_0000000018/N_0000000018_00454.jpg,not_happy
N_0000000018/N_0000000018_00455.jpg,happy
N_0000000018/N_0000000018_00456.jpg,not_happy
N_0000000018/N_0000000018_00458.jpg,happy
N_0000000018/N_0000000018_00459.jpg,not_happy
N_0000000018/N_0000000018_00461.jpg,not_happy
N_0000000018/N_0000000018_00464.jpg,happy
N_0000000018/N_0000000018_00472.jpg,not_happy
N_0000000018/N_0000000018_00483.jpg,not_happy
N_0000000018/N_0000000018_00485.jpg,happy
N_0000000018/N_0000000018_00486.jpg,not_happy
N_0000000018/N_0000000018_00487.jpg,happy
N_0000000018/N_0000000018_00488.jpg,not_happy
N_0000000018/N_0000000018_00490.jpg,not_happy
N_0000000018/N_0000000018_00493.jpg,not_happy
N_0000000018/N_0000000018_00494.jpg,not_happy
N_0000000018/N_0000000018_00495.jpg,not_happy
N_0000000018/N_0000000018_00496.jpg,happy
N_0000000018/N_0000000018_00499.jpg,not_happy
N_0000000018/N_0000000018_00502.jpg,not_happy
N_0000000018/N_0000000018_00503.jpg,not_happy
N_0000000018/N_0000000018_00504.jpg,not_happy
N_0000000018/N_0000000018_00506.jpg,not_happy
N_0000000018/N_0000000018_00512.jpg,not_happy
